EFFECTIVE SIZE	A model’s Effective Size is equal to its Size characteristic plus the Size of any terrain it is standing on (Part 7.1.2). A model at GROUND LEVEL has an Effective Size equal to its own Size characteristic only. A model on HIGH GROUND (Size 3+) or MID GROUND (Size 1–2) adds the terrain’s Size to its own. Terrain pieces set on elevated surfaces stack in the same way – a terrain piece’s Effective Size equals its own Size plus the Size of the terrain it stands on. Effective Size determines which terrain blocks Line of Sight through Full Cover and Direct Cover (Part 7.1.1). Flying models are treated as having an Effective Size higher than any terrain piece on the table for Cover purposes (Part 7.1.4).	Core Rules Part 11 · p. 84
ELEVATION LEVEL	Models can stand one of three elevations: X GROUND LEVEL: Standing directly on the playmat. X MID GROUND: Standing on horizontal terrain of Size 1 or 2. X HIGH GROUND: Standing on horizontal terrain of Size 3 or larger. The model stands on elevation if its base is at that elevation. If the model’s base is on multiple elevation levels, assume it is standing on the highest of those elevations.	Core Rules Part 11 · p. 84
ENEMY	All Units, Tokens, and cards belonging to the opponent are Enemies. In team games, all opposing players’ Units, Tokens, and cards are Enemies. A Unit may never target a Friendly Unit with an attack unless a rule explicitly states otherwise. Enemy is the opposite of Friendly and is referenced throughout the rules to determine valid targets, Engagement, and Mission Marker contests.	Core Rules Part 11 · p. 84
ENGAGED	A Ground Unit is Engaged when any of its models is Within 1” (Engagement Range) of any model in an Enemy Ground Unit, provided the following conditions are met (Part 7.2.1): X Combat Tags match: Ground models Engage only Ground models. Flying models cannot be Engaged by any model. X Terrain does not block: Size 2+ terrain between the models prevents Engagement, even if they are Within 1”. Models on HIGH GROUND cannot Engage models at GROUND LEVEL, and vice versa. When any model in a Unit is Engaged, the entire Unit is considered Engaged. An Engaged Unit cannot perform a standard Move – it must Disengage (Part 8.5.4) or Hold. Engaged Units are also subject to restrictions on Ranged Attacks (Part 8.7.3).	Core Rules Part 11 · p. 84
ENGAGEMENT RANGE	The Engagement Range extends 1” horizontally from any model’s base. When two Enemy Ground models are Within each other’s Engagement Range, they are Engaged (Part 7.2). Engagement Range is measured horizontally from a top-down perspective, ignoring vertical height (Part 4.1). It is referenced when resolving Move restrictions (Part 8.5.3), Disengage (Part 8.5.4), Charge (Part 8.6.2), the Fighting Rank (Part 8.8.1), and PLACE effects. Melee weapons list E as their Range, indicating they may only strike targets Within the Engagement Range.	Core Rules Part 11 · p. 84
ENTRY EDGE	The table edge assigned to a player by the Deployment Card. Units enter the battlefield from this edge when deploying from Reserves.	Core Rules Part 11 · p. 84
FACTION TAGS	Faction Tags are keywords printed on Unit Cards, Tactical Cards, and Faction Cards that identify allegiance. X Race Tags: Terran, Zerg, Protoss. X Sub-Faction Tags: Specific broods or organisations, e.g., Kerrigan’s Swarm, Raynor’s Raiders. X Function: During Army Building, a player may include only Units and Tactical Cards whose Faction Tags all appear on the chosen Faction Card. If even one tag on the Unit or Tactical Card does not appear on the Faction Card, that card cannot be included. A Unit with fewer tags than the Faction Card is permitted – it only requires its own tags to be present (Part 9.1.2).	Core Rules Part 11 · p. 84
FIGHTING RANK	A model is in the Fighting Rank if it is Within the Engagement Range (1”) of an Enemy model. Models in the Fighting Rank may strike with their Combat Phase weapons. See Part 8.8.1, Step 2.	Core Rules Part 11 · p. 85
FIRST PLAYER MARKER	A physical Token used to track which player has initiative. At the start of the game, the winner of the Roll-Off (Part 3.2) assigns the First Player Marker to either player for Round 1. The holder of the First Player Marker chooses which player activates first at the start of each Phase. The Marker changes hands in two ways: the first player to Pass during Phase 1 or Phase 2 takes the First Player Marker for the following Phase, and at the end of Phase 4 the Marker is awarded to the player with fewer Victory Points (Part 8.9.6). If Victory Points are tied, both players Roll-Off and the winner takes the Marker.	Core Rules Part 11 · p. 85
FLYING	Flying Units trade board control (no Mission Markers, no melee) for mobility and immunity to terrain. X A Flying Unit ignores all terrain for movement purposes. The Leading Model moves point-to- point, measuring horizontally. Other models may pass through a Flying model’s base as if it were not there, and vice versa. X A Flying Unit is never Engaged. Ground models cannot Engage Flying models, and Flying models cannot Engage other Flying models. A Flying Unit must end its movement at least 1” away from all Enemy Flying Units. X Flying model ignore the Full Cover rule. Direct Cover and the Elevation Dead Zone rules still apply. Assume that Flying Units’ Effective Size is higher than the Effective Size of any terrain piece on the table. X A Flying Unit does not benefit from HIGH GROUND Cover (Part 7.1.3). X A Flying Unit cannot Control or Contest Mission Markers (overrides Parts 6.2 and 8.9.1). X A Flying Unit cannot Charge or be Charged. X A Flying Unit cannot participate in the Combat Phase (Part 8.8). X A Flying Unit ignores elevation. It does not use Access Points. For Cover and Line of Sight purposes, treat a Flying Unit’s Effective Size as higher than the Effective Size of any terrain piece on the table (Part 7.1.4). Terrain does not contribute to a Flying model’s Effective Size. X A Flying Unit moving over Grass does not destroy the Grass terrain piece. If a Flying Unit ends on a Grass terrain piece, it is removed as normal.	Core Rules Part 11 · p. 85
FRIENDLY	All Units, Tokens, and cards belonging to the Controlling Player are Friendly to one another. In team games, all teammates’ Units, Tokens, and cards are also Friendly. A Unit’s own models are always Friendly to it. Friendly is the opposite of Enemy and is used throughout the rules to determine targeting restrictions, movement interactions, and ability eligibility.	Core Rules Part 11 · p. 85
GRASS	A terrain piece with a Size of 2 that follows special rules. Unlike other Size 2 terrain, Grass does not block movement but does block Line of Sight, following the standard Cover rules (Part 7.1.1). Grass is destroyed by the passage of war. If a Leading Model’s path of travel passes through or any model of a Unit ends on a Grass terrain piece during any movement action (Move, Deploy, Run, Charge, Disengage or Close Ranks), that Grass terrain piece is immediately removed from the game. It does not return during Cleanup & Refresh and cannot be replaced by any means. A Flying Unit moving over Grass does not destroy the Grass terrain piece. Flying models pass above the terrain, not through it. If any model of a Flying Unit ends on a Grass terrain piece, it is removed as normal.	Core Rules Part 11 · p. 85
GROUND LEVEL	One of the elevation levels. Model is on the GROUND LEVEL when it is standing directly on the playmat. Models on GROUND LEVEL cannot Engage models on HIGH GROUND, and vice versa. Models on GROUND LEVEL can Engage models on MID GROUND only if both models are adjacent to the same ACCESS POINT connecting their respective elevations. A model at GROUND LEVEL has an Effective Size equal to its own Size characteristic only.	Core Rules Part 11 · p. 85
HEAL (X)	Remove X points of accumulated Damage from the Unit (reduce its Damage Marker accordingly). HEAL cannot return Destroyed models – it only reduces existing Damage. See also: RESPAWN.	Core Rules Part 11 · p. 86
HIDDEN	This Unit cannot be selected as the target of a Ranged Attack or any LoS-requiring Special Ability unless the acting model is Within 4” of it. A HIDDEN Unit is immune to the IMPACT keyword. A HIDDEN Unit may make an Evade Roll against every attack targeting it. HIDDEN is classified as a Status.	Core Rules Part 11 · p. 86
HIGH GROUND	One of the elevation levels. Model is on the HIGH GROUND when standing on horizontal terrain of Size 3 or larger. Models on HIGH GROUND cannot Engage models on GROUND LEVEL, and vice versa. Models on HIGH GROUND can Engage models on MID GROUND only if both models are adjacent to the same ACCESS POINT connecting their respective elevations. A model on HIGH GROUND has an Effective Size equal to its own Size plus the terrain’s Size.	Core Rules Part 11 · p. 86
HITS X (Y)	The affected Unit suffers X automatic hits. Set X dice directly into the Armour Pool and proceed immediately to Armour Rolls (Part 8.7.4, Steps 3–4). Treat the Damage characteristic as Y. These hits do not generate Surge.	Core Rules Part 11 · p. 86
IMPACT (X) Y	Immediately after this Unit completes a successful Charge, check every model in the Fighting Rank or Supporting Rank. For each eligible model, generate X Impact Dice: X If the model is in the Fighting Rank or Supporting Rank against only one Enemy Unit, all X dice go to that Unit. X If the model is in the Fighting Rank or Supporting Rank against multiple Enemy Units, the controlling player may split the dice between those Units. Roll the allocated dice for each target Unit separately (this is the Impact Hit Roll). For each result of Y or higher, set 1 die into the target’s Armour Pool. Proceed immediately to Armour Rolls. These hits do not generate Surge and treat Damage as 1.	Core Rules Part 11 · p. 86
IMPASSABLE TERRAIN	A terrain piece is Impassable if it has no Access Point connecting it to an adjacent elevation level. Models cannot move through, onto, or across IMPASSABLE TERRAIN, and no model may end its movement overlapping it. Models can move through Terrain of Sizes 0 and 1.	Core Rules Part 11 · p. 86
INDIRECT FIRE	Ranged Attacks with this weapon may ignore Line of Sight when selecting a target and resolving Damage. The target must still be Within Range. If the target is not within Line of Sight, it may make an Evade Roll against this attack.	Core Rules Part 11 · p. 86
INSTANT	Enemy Units cannot declare or resolve Reaction abilities in response to attacks made with this weapon.	Core Rules Part 11 · p. 86
LEADING MODEL	The Leading Model is a temporary reference point used to execute a Unit’s movement. Whenever a Unit performs a Move, Deploy, Run, Charge, Disengage, Close Ranks, or any action that instructs the Unit to nominate a Leading Model, the Controlling Player selects one model in the Unit. Move the Leading Model first, measuring its exact path. Then set the remaining models in valid Coherency around the Leading Model’s new position (Part 4.4). The Leading Model nomination ends once the action resolves. The Leading Model determines the Unit’s Gap Clearance category and interacts with terrain restrictions (Part 4.6). LINE OF SIGHT (LoS) Line of Sight determines what a model can see and, by extension, what it can target with attacks and abilities. All Line of Sight checks are resolved from a 2D top- down perspective, looking directly down at the battlefield from above. To determine if a model can see a target, trace an imaginary straight line from any part of the acting model’s base to any part of the target model’s base. Vertical height is never factored into the trace. If the trace does not pass through any Blocking Terrain (any terrain piece with an Effective Size of 1 or greater), the target is Visible. No further checks are required. If the trace passes through Blocking Terrain, the target is not automatically hidden. Apply the Cover rules (Part 7.1.1) to determine whether that terrain actually blocks the Line of Sight: X Full Cover: The terrain’s Effective Size is equal to or greater than the Effective Size of both the attacker and the target. Line of Sight is blocked. X Direct Cover: The trace passes through a terrain piece, and either the attacker or the target is Within 1” of that terrain, provided the terrain’s Effective Size is equal to or greater than the Effective Size of the model that is Within 1”. Line of Sight is blocked. Exception: If both the attacker and the target are Within 1” of the same terrain piece and Within 3” of each other, resolve Line of Sight normally. X Elevation Dead Zone: A model on HIGH GROUND (Size 3+) cannot see a model at GROUND LEVEL that is Within 1” of the base of the same terrain piece, and vice versa. The same Close Quarters exception applies. Each terrain piece is assessed independently. Terrain pieces do not combine their Effective Size or proximity. If no single terrain piece meets the requirements for Full Cover or Direct Cover, Line of Sight is not blocked, regardless of how many terrain pieces the trace passes through. A terrain piece’s footprint is defined by its physical base or outermost edges viewed from above. Gaps, windows, doorways, and open interiors within the footprint do block the Line of Sight unless players agree otherwise during Battlefield Setup (Part 7.1). Flying models ignore the Full Cover rule. Direct Cover and the Elevation Dead Zone still apply. Treat a Flying model’s Effective Size as higher than the Effective Size of any terrain piece on the table (Part 7.1.4). Line of Sight is mutual: if Model A can see Model B, Model B can see Model A through the same trace.	Core Rules Part 11 · p. 86
LOCKED IN (X)	When making a Ranged Attack with this weapon, add X to its RoA if the target Unit has Stationary Status.	Core Rules Part 11 · p. 87
LONG RANGE (X)	The maximum Range of this weapon increases to X”. Measure each attacking model’s distance to the target individually: X Within normal profile Range: attack resolves normally. X Beyond profile Range but Within X”: the model suffers a -1 Modifier to its Hit roll. If a Batch contains models at both Standard and Long Range, generate the total dice but roll the two groups separately to account for different Hit Target Numbers.	Core Rules Part 11 · p. 87
MID GROUND	One of the elevation levels. Model is on the MID GROUND when standing on horizontal terrain of Size 1 or 2. Models on MID GROUND can Engage models on HIGH GROUND or GROUND LEVEL only if both models are adjacent to the same ACCESS POINT connecting their respective elevations. A model on MID GROUND has an Effective Size equal to its own Size plus the terrain’s Size.	Core Rules Part 11 · p. 87
MISSION MARKERS	Numbered Markers are set on the battlefield during Setup at the coordinates shown on the Deployment Card. Each Marker is 32mm in diameter and has two sides: Activated or Deactivated. Markers 1 & 3 are Red, Markers 2 & 4 are Blue, and Marker 5 is Neutral. Mission Markers are the primary scoring mechanism. At the end of each Round, players determine Control of each Marker by comparing the Total Current Supply Value of their eligible contesting Units (Part 8.9.1). A Unit may Contest a Mission Marker only if it is on the battlefield, In Coherency, and has at least one model Within 3” with Line of Sight to the Marker on the same elevation. Flying Units and BURROWED Units cannot Contest or Control Mission Markers. Control is Sticky – once a player Controls a Marker, it remains under their control until the opponent reclaims it with a higher contesting Supply total. A tied result never transfers control.	Core Rules Part 11 · p. 87
MODIFIER	A Modifier adjusts the Target Number of a roll. Apply all Modifiers before rolling (Part 3.4). X +X Modifier: Makes the roll easier by reducing the Target Number by X. X-X Modifier: Makes the roll harder by increasing the Target Number by X. Modifiers from different named sources are cumulative unless otherwise stated. A Target Number can never be modified below 2+ or above 6+. Modifiers adjust the Target Number, not the dice result. A natural roll of 6 always succeeds, and a natural roll of 1 always fails, regardless of Modifiers (Part 3.6). A Modifier is distinct from a Fixed Addition (Part 3.5), which generates a value rather than adjusting a Target Number. MORPH (Unit Name) X To perform this ability, the controlling player must have sufficient Available Supply. Set one (Name) model in Base-to-Base contact with a model from the active Unit, then remove X models from that Unit from the battlefield. The (Name) model forms a new Unit and cannot be set Within 1” of any Enemy Unit. Place an Activation Marker next to the new Unit; it cannot be Activated for the remainder of the Round.	Core Rules Part 11 · p. 88
NON-LETHAL DAMAGE (X)	The Unit suffers X points of Damage. Add this amount effectively to the Unit’s Damage Marker. Do not remove any models, even if Total Damage exceeds a model’s HP. If the Unit subsequently suffers standard Damage, the combined Total Damage triggers casualty removal normally.	Core Rules Part 11 · p. 88
ON CREEP	A Friendly or Enemy Ground Zerg Unit is considered to be ON CREEP while it is Within 6” of any Creep Tumor Token or any model designated as a Source of Creep. While satisfying this condition, the Unit gains the ON CREEP keyword. This allows the Unit to trigger specific Special Abilities or Upgrades that require this state.	Core Rules Part 11 · p. 88
PIERCE [TAG] X	When attacking a Unit with the specified Combat Tag, treat this weapon’s Damage characteristic as X.	Core Rules Part 11 · p. 88
PINPOINT	Ranged Attacks with this weapon may target Engaged Enemy Units, ignoring the standard Engagement Status restriction (overrides Part 8.7.3, Step 1).	Core Rules Part 11 · p. 88
PLACE (X)	Choose a Leading Model. Remove it and set it Wholly Within X” of its starting position. Then remove and replace all other models in the Unit, maintaining Coherency (Part 4.4). PLACE ignores Gap Clearance, and elevation requirements. The Leading Model is removed and set directly, not moved along a path. However, they must end in a legal position and not Within the Engagement Range of any enemy model. Models using the PLACE effect during the Assault Phase may be set Within the Engagement Range of Enemy models (the Unit becomes Engaged).	Core Rules Part 11 · p. 88
PRECISION (X)	After rolling to Hit, move up to X failed Attack Dice directly into the Armour Pool. Treat them as successful Hits for all purposes, including Surge.	Core Rules Part 11 · p. 88
READY	The default state of a Tactical Card or Faction Card. A Ready card is face-up, its abilities are available, and it may be Exhausted to pay resource costs or activate its Special Abilities. All Tactical Cards and Faction Cards begin each Round in the Ready state. Cards that have been Exhausted are returned to Ready during Cleanup & Refresh (Part 8.9.5).	Core Rules Part 11 · p. 88
REPEATABLE	This ability is exempt from the Once Per Round limit (Part 2.7.1). It may be used multiple times per Round and per Activation, provided all Costs and trigger conditions are met each time.	Core Rules Part 11 · p. 88
RESERVES	A holding area off the battlefield where Units remain until they are deployed. All Units begin the game in Reserves. While in Reserves, a Unit: X Cannot be targeted by attacks or abilities unless an ability explicitly states it affects Units in Reserves. X Cannot use Active Abilities, Passive Abilities, or Reaction Abilities unless the ability explicitly states otherwise. X Cannot Control or Contest Mission Markers. X Does not contribute its Current Supply Value to the player’s Total Current Supply on the battlefield. X Retains all equipment, upgrades, and weapon selections assigned during Army Building. X A Unit leaves Reserves when it is deployed to the battlefield via a Deploy action (Part 8.5.5). Some rules may return a Unit to Reserves during play – see Part 8.5.5 for how Damage, effects, and Supply are handled. In the final Round of the game, all Units still in Reserves that are not deployed are treated as Destroyed for scoring purposes (Part 8.10).	Core Rules Part 11 · p. 88
RESPAWN (X)	Return up to X Destroyed models to this Unit. X The return cannot increase the Unit’s Current Supply Value. Do not return a model if doing so would push the Unit into a higher Supply bracket. X Set each returned model in Base-to-Base contact with an existing model in the Unit. Returned models cannot be set Within the Engagement Range of any Enemy Unit. X If a model cannot be set legally, it cannot be returned.	Core Rules Part 11 · p. 89
SHIELDED	If a Shield value is present on a Unit Card, add it to the Hit Points (HP) of the first model. The Unit is Shielded. The Unit loses its Shielded Status when the Total Damage assigned to it exceeds its Shield value or when the first model in the Unit is removed. The Shielded Status is referenced by other abilities. Losing Shielded Status does not remove any remaining Hit Points, it only ends effects that require the Unit to be Shielded. Shielded Status cannot be restored by HEAL.	Core Rules Part 11 · p. 89
SIDEARM	When this Unit performs a Ranged Attack or Close Combat Attack, models equipped with this weapon may use it, ignoring the normal restriction of one weapon per model (Part 8.7.3). If a model is equipped with multiple SIDEARM weapons, it may use all of them in the same activation. Attacks made with each SIDEARM must be resolved in separate Batches. Because they are separate Batches, SIDEARM attacks may target a different Enemy Unit than the Unit’s other weapons, subject to all standard target eligibility requirements.	Core Rules Part 11 · p. 89
SIEGE MODE	While a Unit has the SIEGE MODE Status, apply the following rules: X This Unit cannot perform the Move, Disengage, Run, Charge or Close Ranks actions. X Weapons profile with Siege Mode Status can only be used while this unit has SIEGE MODE Status. X While this unit has Siege Mode Status any other weapons can’t be used. X When this Unit is returned to Reserves, it loses the SIEGE MODE Status.	Core Rules Part 11 · p. 89
SPECIAL ABILITY	A Special Ability is any named ability printed on a Unit Card, Tactical Card, or Faction Card. Every Special Ability falls into one of three categories: Active Ability, Passive Ability, or Reaction Ability (Part 2.7). X Active Abilities require the Unit to be Activated and are triggered immediately before or after an action. Each named Active Ability may be used once per Round per Unit unless it has the REPEATABLE keyword. X Passive Abilities are always in effect as long as the Unit is on the battlefield. X Reaction Abilities fire in response to a specific trigger. Each player may resolve only one Reaction per Activation, and each named Reaction Ability may be used only once per Round per Unit. All three types are inactive while the Unit is in Reserves unless the ability explicitly states otherwise. A Unit cannot be affected by multiple instances of the same- named Special Ability simultaneously.	Core Rules Part 11 · p. 89
SPECIALIST	A Unit may include only one model equipped with this weapon. Multiple upgrades configuring more than one instance of this weapon are not permitted (Part 9.1.7).	Core Rules Part 11 · p. 89
SPILLOVER	Additional hits generated by a Template Weapon that strike models outside the Primary target Unit. When a Blast Template (BT) or Flamer Template (FT) covers models belonging to Units other than the Primary target, those models are resolved as Spillover. Each affected Unit is resolved as a separate Batch. Spillover Batches do not apply Rate of Attack modifiers and do not generate Surge. Spillover may affect both Friendly and Enemy Units. See Part 8.7.6 for the full Template Weapon procedure.	Core Rules Part 11 · p. 89
STATIONARY	At the Start of the Round, all Units gain this Status. A Unit immediately loses this Status if any model in this Unit moves, is moved, or is PLACED for any reason.	Core Rules Part 11 · p. 90
STATUS	A category of keyword representing a temporary or persistent operational mode, condition, or statistic modifier affecting a Unit (e.g. BURROWED, SIEGE MODE). Unless stated otherwise, Statuses aren’t removed during the Scoring and Cleanup Phase. They stay on the Unit until they are removed by other means A Unit’s active Status is visually tracked using Status Markers set next to the Unit: X Modes: Use Plastic Markers to track operational shifts (e.g. SIEGE MODE, BURROWED). Those Status Markers have STAY IN PLAY. X Other Statuses: Use Markers to track other effects affecting the Unit. Positive effects are tracked with Buff Markers (Blue), and negative effects are tracked with Debuff Markers (Red). Those Status Markers have STAY IN PLAY.	Core Rules Part 11 · p. 90
STAY IN PLAY	This Token, Marker or Ability Effect persists through Cleanup & Refresh (overrides Part 8.9.5). It remains until a specific condition removes it (e.g. destroyed or duration expires).	Core Rules Part 11 · p. 90
SUMMON (Unit Name)	Set the Leading Model of the named Unit in Base-to-Base contact with the Parent Unit. Set remaining models In Coherency. Models cannot be set Within the Engagement Range of any Enemy Unit. Set an Activation Marker next to the summoned Unit – it cannot be Activated during the Phase in which it was summoned. In subsequent Phases, this Unit must be Activated immediately after its Parent Unit’s activation ends, before the opponent’s next activation. The Summoned Unit cannot be set Within the opponent’s Zone of Influence. The player must have sufficient Available Supply. If the Unit’s Current Supply Value would cause Total Current Supply to exceed the Supply Pool, it cannot be Summoned. If the Parent is not present on the battlefield, this Unit can be Activated normally.	Core Rules Part 11 · p. 90
SUPPLY VALUE	The Supply Value of a Unit is the value shown on the Unit Card’s Supply Profile corresponding to the Unit’s current model count. A Unit’s starting Supply Value is determined during Army Building by the Composition Option selected (Part 9.1.6) and defines how many Army Slots the Unit occupies. Supply Value is a dynamic characteristic – as casualties reduce the model count into a lower bracket on the Supply Profile, the Supply Value decreases. Update immediately when a casualty moves the Unit into a lower bracket. Supply is used for Deployment, Mission Marker Control, Tactical Mass, and scoring.	Core Rules Part 11 · p. 90
SUPPORTING RANK	A model is in the Supporting Rank if it is in Base-to- Base contact with a Friendly model from the same Unit that is in the Fighting Rank, but is not itself Within the Engagement Range of an Enemy model. Models in the Supporting Rank may strike with their Combat Phase weapons as though they were in the fight. See Part 8.8.1, Step 2.	Core Rules Part 11 · p. 90
TACTICAL MASS	A Unit has Tactical Mass when its Current Supply Value exceeds the Combined Current Supply Value of all Enemy Units it is Engaged with. A Unit with Tactical Mass ignores the Disengage penalty (Part 8.5.4): it may Ranged Attack and Charge normally in the following Assault Phase after Disengaging.	Core Rules Part 11 · p. 90
TOUGH (X)	When this Unit resolves an Armour Roll, change up to X failed results into successes. Treat them as meeting or exceeding the Armour characteristic – discard them without moving to the Damage Pool.	Core Rules Part 11 · p. 90
UNENGAGED	A Ground Unit is Unengaged when none of its models is Within 1” of any Enemy Ground model, or when terrain restrictions (Part 7.2.1) prevent valid Engagement despite proximity. Flying Units are always Unengaged. An Unengaged Unit may perform a standard Move, Run, Ranged Attack, or Charge without restriction. Only Unengaged Units may be selected to perform a Move action (Part 8.5.2).	Core Rules Part 11 · p. 91
VISIBLE	A model is Visible to another model if a valid Line of Sight trace can be drawn between them (Part 7.1). If the trace does not pass through any Blocking Terrain, the target is Visible without further checks. If the trace passes through Blocking Terrain, apply the Cover rules (Part 7.1.1) – the target remains Visible unless Full Cover or Direct Cover blocks the Line of Sight. A model with the HIDDEN keyword is not Visible to any model more than 4” away, regardless of Line of Sight.	Core Rules Part 11 · p. 91
WHOLLY WITHIN	A model is Wholly Within a distance only if its entire base sits inside that range - no part of the base may extend beyond the edge. A Unit is Wholly Within a distance only if every model in the Unit satisfies this condition. Wholly Within is a stricter requirement than Within and is used for Coherency checks (Part 4.4), certain ability areas of effect, and Mission Marker eligibility. When a rule specifies Wholly Within, partial overlap is not sufficient.	Core Rules Part 11 · p. 91
