How does deployment work for end-of-round deployment abilities (like Ventral Sacs, Ready For Dust-off, or Warp Conduit) that place a Unit from a marker?	Place the leading model in base-to-base contact with the marker, and the remaining models in Unit Coherency completely outside of enemy Engagement Range. If you cannot place the leading model in base-to-base contact with the marker while keeping it outside of enemy Engagement Range, the Unit cannot be deployed, and the ability is wasted.
Can a Special Ability be used before deploying a Unit (e. g. , triggering Stimpack to increase its Speed)?	No. Abilities do not function while a Unit is in Reserves. Only abilities that explicitly state they work in Reserves (such as “Raiders Roll!”) or those that actually deploy the Unit (like “Armed and Ready” or “Phase Prism”) can be resolved before deployment.
What does “Nominated to deploy” mean?	This term refers to a Unit actively performing a Deploy Action. Any card effect, special ability, or core game rule that causes a Unit to perform a Deploy Action counts as that Unit being nominated to deploy.
Can Units benefit from the Creep speed buff during their Deploy move?	No. Units in Reserves cannot use abilities or measure range until they are placed on the battlefield. Because a Unit’s passive abilities do not function while in Reserves and the Unit cannot be “On Creep” before actually entering the board, the Deploy must be resolved using the Unit’s standard Speed characteristic.
Do Evade rolls work against Surge?	Yes. Evade rolls are resolved against the final Damage Pool, which includes Surge. Surge only bypasses the Armour Roll, moving successful hits directly to the Damage Pool.
Can ANTI-EVADE (or any other modifier) ever negate an Evade roll (or any other check) entirely?	No. Target numbers can never be modified below 2+ or above 6+. Because abilities like ANTI-EVADE apply modifiers, they can only worsen a check to a maximum of 6+.
Can Ranged Attacks destroy target models that are outside of weapon range if they are within Line of Sight?	Yes. Casualty removal is restricted only by visibility, not range. Any model in the target Unit that is visible to at least one model in the attacking Unit is eligible to be removed as a casualty, even if that specific model is physically outside of the weapon’s range.
When a Unit is engaged, and all of its models are in base-to-base contact, can you perform a Close Ranks action?	No. Since the action requires the Leading Model to end their movement closer to the enemy than they started, a Unit where everyone is already in base-to-base contact cannot resolve a Close Ranks action.
How are models removed in close combat when fighting multiple enemy Units at once?	You must prioritise maintaining engagement with ALL enemy Units. When removing casualties at Priority 2 or 3, you cannot choose a model if its removal would break engagement with a specific enemy Unit, as long as another valid casualty exists in any priority tier.
When a Unit has multiple different ranged weapons, must you declare all targets before you begin rolling to hit?	No. Targets are declared and resolved one weapon Batch at a time. You select a target for your first weapon type, resolve those attacks completely, and only then declare the target for your next weapon type. Abilities & Tactics Cards
How do CP, BM, and PE resources work when paying for special abilities?	You must exhaust (flip face-down) one or more Ready cards matching the required resource type to pay the cost. Any excess resources generated are lost and cannot be saved or spent on another ability. For example, exhausting a card that produces 2 CP to pay for a 1 CP ability immediately discards the leftover 1 CP.
Is a Unit considered within range of itself for its own abilities?	Yes. A Unit is always considered within range of itself unless a rule explicitly states otherwise.
Does activating a Tactical Card to use one of its abilities require an active Unit on the battlefield, even if the card doesn’t directly affect that Unit?	Yes. An active Unit on the battlefield is always required to resolve a card’s Active Ability.
Can a Unit use any number of Active abilities or Tactical Cards during its Activation?	Yes. A Unit can resolve any number of differently named Active abilities or Tactical Cards during its Activation, provided you can pay their resource costs. However, Reactions are restricted to one per Activation. Named Active abilities cannot be used more than Once per Round per Unit unless a rule explicitly states otherwise (e.g., a single Marine Unit cannot trigger the “Go! Go! Go!” ability twice in the same Round).
When resolving the Marauder’s Concussive Shells reaction, do you need Line of Sight to the charging Enemy Unit or to the Friendly Unit being charged?	You only need Line of Sight to the Friendly Unit. Because the ability is measured and targeted toward a Friendly Unit Within 8”, that friendly unit is the subject of the range and visibility check.
Can Raptors stack the IMPACT modifiers from Malignant Creep, the Evolution Chamber, and their Adrenal Overload ability?	Yes. Because these abilities apply numeric modifiers rather than keywords, they stack. Modifiers from different named sources are cumulative, allowing these three effects to combine for a potential +3 bonus.
Can you stack Accelerating Creep with the Queen’s Creep Speed, Wild Mutation, or Roach Glial Reconstitution?	Movement modifiers from different named sources stack normally, unless they share the BUFF keyword. Because Accelerating Creep and the Queen’s Creep Speed upgrade apply flat modifiers without using keywords, they stack with other speed bonuses. However, both Wild Mutation and Glial Reconstitution grant the BUFF Speed keyword, meaning they do not stack with each other.
Can an opponent place their models on a Faction Indicator (from Ventral Sacs, Ready For Dust-off, or Warp Conduit)?	Yes. Opponents can freely move onto and block a Faction Indicator. If the indicator becomes blocked so that you can no longer place a deploying model in base-to-base contact with it, the indicator remains on the field until the End of the Round and is then removed without deploying the Unit.
How do you resolve the PLACE (0) effect of Artanis’s Phase Prism ability?	Place Artanis directly in base-to-base contact with a model in the selected target Unit.
Can damage already assigned to a Unit be removed?	Yes. Damage reduction applies to a Unit’s Total Damage (the sum of existing and newly assigned damage). For example, if a Marauder Unit with 2 damage takes 1 additional damage, a Medic’s “Life Support” can remove all 3 damage.
Can Roaches move through a Force Field using Tunnelling Claws?	No. Tunnelling Claws only allow a Unit to move through enemy Units, not Terrain. Since a Force Field is classified as Terrain, it cannot be bypassed or moved through using this ability.
Can a Size 3 Unit be PLACED into a Force Field to automatically remove it?	No. Because a PLACE effect is not a movement, it cannot remove a Force Field.
Can Raptors move across Force Fields, since they can normally bypass terrain?	No. Force Fields explicitly forbid Units of Size 2 or less from moving across them. Because Raptors are Size 1, they cannot ignore this specific terrain restriction.
When is ON CREEP checked for the movement bonus from Accelerating Creep?	At the start of the movement. If a Unit is ON CREEP when it begins its movement, it gains the bonus for the entire move, even if it leaves Creep during that movement.
Can you use the Advanced Training reaction from the Academy if the card is already exhausted?	No. Once a Tactical Card is Exhausted, none of its printed abilities can be resolved or used until the card is Refreshed during the Phase 4 Cleanup.
Can you resolve Reaction Abilities outside of an activation?	Yes. Reactions can be resolved at any time their specific trigger conditions are met, regardless of whether a Unit is currently activated. • Outside of activations, you are restricted to resolving only one Reaction per trigger (provided the participating Unit has not already used that reaction this round). • If both players attempt to react to the same trigger outside of an activation, the holder of the First Player Marker resolves theirs first.
What counts as targeting a Structure?	Abilities can affect a Structure if they target an area or the Unit itself rather than a specific individual model. Structures are only excluded from an ability’s effects if that ability’s targeting requirements, keywords, or restrictions rule them out.
What is the difference between “select” and “target”?	There is no mechanical or rules distinction between these two terms. They are treated as synonyms.
Can an Adept Unit use Psionic Transfer to “teleport” while carrying a claimed Mission Marker in the “Artefact Hunt” mission?	No.
Does PINPOINT allow a Unit to ignore its own engagement and shoot at outside targets, or does it only allow targeting an engaged enemy?	It only allows shooting into combat, not shooting out of it. The keyword overrides the targeting restriction on the target Unit, allowing models to shoot at Engaged enemies.
Can I remove a Creep Token by using the PLACE keyword?	No. Creep Removal only triggers when an enemy Unit ends a Move, Deploy, Run, Charge, or Disengage action within 1” of a Creep Tumor. As PLACE is neither of those, ending a PLACE movement near a Creep Tumor does not remove it.
To benefit from the LOCKED IN keyword, must the attacking model be stationary, or does the target need to have Stationary Status?	The target must have the Stationary Status.
How does Indirect Fire work against a target Unit when only some of its models are visible?	The target Unit does not gain an Evade roll, and non-visible models can still be removed as casualties. Because at least one model is visible, the target Unit itself is considered to be within Line of Sight, meaning it does not qualify for the Evade roll granted to out-of-sight targets.
Since HIDDEN Units cannot be targeted from more than 4” away, how can “detection” abilities (such as Scanner Sweep, Oversight Mode, or Surveillance) affect them at a 6” range?	These abilities target a location on the battlefield rather than the Units themselves. They place a Faction Indicator to create a 6” area of effect. Because the ability does not select the Unit as a target, it bypasses the 4” targeting restriction.
When are abilities or effects with a “while within” condition checked?	These effects are checked at the start and the end of any action or ability during the game round. If a Unit is within the specified range and meets all other requirements, the effect applies immediately.
Can a Reaction ability with the REPEATABLE keyword be used multiple times during the same Activation?	No. The standard limit of one Reaction per Activation still applies. While REPEATABLE allows the ability to be used across different Activations during the round, it cannot be used multiple times in the same Activation. For triggers that occur outside of an Activation entirely, the ability can only be used once per trigger.
Do keywords like PRECISION, SURGE, or CRITICAL HIT apply to individual models, or do they apply to the entire Unit?	They apply to the weapon Batch (the collective dice pool generated by the Unit’s attack) rather than to individual models. Models in a Unit using the same weapon profile combine their Rate of Attack (RoA) dice into a single pool, and these keywords act on the dice within that pool. Individual models are tracked separately only to determine Range, visibility, and specific per- model roll modifiers (such as the -1 Hit penalty for Long Range).
How do abilities like PRECISION work when splitting attacks in combat against multiple enemy Units?	Splitting attacks is resolved as a single Batch, allowing you to allocate keyword effects as they are resolved. Because the attacks against both Units occur simultaneously, you can choose to apply keywords like PRECISION entirely to one target’s pool or split them across both pools.
Does morphing a Unit award Victory Points (VPs) to the opponent if the original Unit’s Supply Value is reduced?	Yes. Anytime a Unit’s Current Supply Value is reduced, including during a Morph, the opponent gains Victory Points (VPs) equal to the amount of Supply lost.
Does a MORPHED Unit award Victory Points (VPs) to the opponent when the Units’ Supply Value is reduced?	Yes. A MORPHED Unit awards Victory Points (VPs) exactly like any other Unit on the battlefield, equal to the amount of Supply lost.
If a Specialist model (like an AGG-12 Marine) is removed, can you keep the weapon in play by replacing another model that doesn’t have it?	No. You cannot transfer Specialist models to other models or replace a model without the weapon to keep the Specialist.
How do Blast Template abilities (like Psionic Storm or Plague) resolve without a physical “Primary Target” to establish a Target Point, Elevation Level, or Combat Tags?	You resolve them using the template rules with the following key adaptations: • The Unit executing the ability is treated as the Attacking Model.
Does the Spillover requirement to “share the same Combat Tag as the Primary target” prevent a template from spilling over to models with different tags (e.g., from Light Zerglings to Armoured Roaches), or is it only meant to check Ground vs. Flying status?	Spillover targets only need to share at least one Combat Tag and match the elevation level of the Primary target. Since Zerglings and Roaches both share the Ground Combat Tags, a template can spill over between them if they are on the same elevation. Mutalisks cannot be affected by Ground-level templates even though they share the Biological tag, because Flying Units do not occupy a standard Elevation Level for template purposes.
How does Guardian Shield interact with Spillover?	Because Spillover hits are resolved as separate attack batches, the Guardian Shield modifier applies to each batch individually. Any Ranged Attack (including both the main target and any Spillover batches) targeting a friendly Unit affected by the Guardian Shield is made with 1 fewer die in its Attack Pool.
How do keywords such as PRECISION (X) or CRITICAL HIT (X) interact with Spillover?	Weapon keywords apply exclusively to the Attack Pool generated against the Main Target. They do not carry over to Spillover batches, which are resolved as separate, basic attack batches without modifiers.
